id,name,movie_id
16.0,Animation,862
35.0,Comedy,862
10751.0,Family,862
10749.0,Romance,15602
35.0,Comedy,15602
35.0,Comedy,11862
12.0,Adventure,710
28.0,Action,710
53.0,Thriller,710
10751.0,Family,21032
16.0,Animation,21032
12.0,Adventure,21032
80.0,Crime,9273
35.0,Comedy,9273
12.0,Adventure,9273
35.0,Comedy,8012
53.0,Thriller,8012
80.0,Crime,8012
14.0,Fantasy,9598
18.0,Drama,9598
35.0,Comedy,9598
10751.0,Family,9598
28.0,Action,9312
14.0,Fantasy,9312
12.0,Adventure,10530
16.0,Animation,10530
18.0,Drama,10530
10751.0,Family,10530
28.0,Action,11525
878.0,Science Fiction,11525
35.0,Comedy,10634
27.0,Horror,755
28.0,Action,755
53.0,Thriller,755
80.0,Crime,755
28.0,Action,10874
35.0,Comedy,10874
10402.0,Music,10874
10751.0,Family,10874
12.0,Adventure,10874
14.0,Fantasy,27793
28.0,Action,9737
35.0,Comedy,9737
80.0,Crime,9737
53.0,Thriller,9737
28.0,Action,414
80.0,Crime,414
14.0,Fantasy,414
35.0,Comedy,5894
53.0,Thriller,8068
28.0,Action,8068
80.0,Crime,8068
28.0,Action,1572
53.0,Thriller,1572
28.0,Action,13552
35.0,Comedy,13552
80.0,Crime,13552
18.0,Drama,13552
12.0,Adventure,9073
28.0,Action,9070
12.0,Adventure,9070
878.0,Science Fiction,9070
10751.0,Family,9070
14.0,Fantasy,9070
80.0,Crime,1642
18.0,Drama,1642
9648.0,Mystery,1642
53.0,Thriller,1642
28.0,Action,1642
18.0,Drama,10802
35.0,Comedy,10149
18.0,Drama,10149
878.0,Science Fiction,9348
27.0,Horror,9348
28.0,Action,9348
28.0,Action,3512
53.0,Thriller,3512
18.0,Drama,50797
18.0,Drama,76
10749.0,Romance,76
35.0,Comedy,2292
35.0,Comedy,8467
10749.0,Romance,15789
16.0,Animation,15789
10751.0,Family,15789
35.0,Comedy,15789
12.0,Adventure,15789
27.0,Horror,628
10749.0,Romance,628
12.0,Adventure,11
28.0,Action,11
878.0,Science Fiction,11
18.0,Drama,18220
10749.0,Romance,18220
53.0,Thriller,18220
18.0,Drama,110
9648.0,Mystery,110
10749.0,Romance,110
18.0,Drama,108
10402.0,Music,108
9648.0,Mystery,108
35.0,Comedy,109
18.0,Drama,109
9648.0,Mystery,109
16.0,Animation,22586
14.0,Fantasy,11395
18.0,Drama,11395
35.0,Comedy,11395
10751.0,Family,11395
27.0,Horror,9059
35.0,Comedy,9059
53.0,Thriller,9059
878.0,Science Fiction,193
28.0,Action,193
12.0,Adventure,193
53.0,Thriller,193
35.0,Comedy,3049
9648.0,Mystery,3049
28.0,Action,9331
18.0,Drama,9331
53.0,Thriller,9331
14.0,Fantasy,9495
28.0,Action,9495
53.0,Thriller,9495
14.0,Fantasy,888
35.0,Comedy,888
10751.0,Family,888
10751.0,Family,8587
16.0,Animation,8587
18.0,Drama,8587
27.0,Horror,11596
53.0,Thriller,11596
9648.0,Mystery,11596
14.0,Fantasy,11596
10749.0,Romance,854
35.0,Comedy,854
80.0,Crime,854
14.0,Fantasy,854
35.0,Comedy,36593
80.0,Crime,36593
28.0,Action,1637
12.0,Adventure,1637
80.0,Crime,1637
53.0,Thriller,8831
878.0,Science Fiction,8831
28.0,Action,8831
80.0,Crime,8831
28.0,Action,11667
12.0,Adventure,11667
53.0,Thriller,11667
28.0,Action,8011
14.0,Fantasy,8011
878.0,Science Fiction,8011
35.0,Comedy,2758
10751.0,Family,2758
14.0,Fantasy,2758
28.0,Action,306
35.0,Comedy,306
80.0,Crime,306
28.0,Action,11310
35.0,Comedy,11310
18.0,Drama,11310
37.0,Western,11310
99.0,Documentary,24257
10751.0,Family,1634
12.0,Adventure,1634
12.0,Adventure,5503
28.0,Action,5503
53.0,Thriller,5503
80.0,Crime,5503
9648.0,Mystery,5503
28.0,Action,2019
12.0,Adventure,2019
80.0,Crime,2019
53.0,Thriller,2019
28.0,Action,9255
35.0,Comedy,9255
10752.0,War,9255
12.0,Adventure,329
878.0,Science Fiction,329
12.0,Adventure,11231
28.0,Action,5550
12.0,Adventure,5550
80.0,Crime,5550
878.0,Science Fiction,5550
53.0,Thriller,5550
18.0,Drama,11236
10751.0,Family,11236
14.0,Fantasy,11236
12.0,Adventure,8850
14.0,Fantasy,8850
28.0,Action,8850
53.0,Thriller,8850
878.0,Science Fiction,8850
878.0,Science Fiction,78
18.0,Drama,78
53.0,Thriller,78
35.0,Comedy,771
10751.0,Family,771
16.0,Animation,812
10751.0,Family,812
35.0,Comedy,812
12.0,Adventure,812
14.0,Fantasy,812
10749.0,Romance,812
28.0,Action,280
53.0,Thriller,280
878.0,Science Fiction,280
14.0,Fantasy,268
28.0,Action,268
80.0,Crime,274
18.0,Drama,274
53.0,Thriller,274
10749.0,Romance,10020
10751.0,Family,10020
16.0,Animation,10020
14.0,Fantasy,10020
10402.0,Music,10020
27.0,Horror,10824
16.0,Animation,11827
878.0,Science Fiction,11827
27.0,Horror,8766
53.0,Thriller,8766
878.0,Science Fiction,8766
10749.0,Romance,19042
16.0,Animation,19042
10751.0,Family,19042
12.0,Adventure,19042
14.0,Fantasy,19042
12.0,Adventure,954
28.0,Action,954
53.0,Thriller,954
14.0,Fantasy,8840
28.0,Action,25087
53.0,Thriller,25087
18.0,Drama,5801
18.0,Drama,896
18.0,Drama,8072
878.0,Science Fiction,8072
9648.0,Mystery,8072
14.0,Fantasy,11687
35.0,Comedy,11687
878.0,Science Fiction,11687
28.0,Action,9323
16.0,Animation,9323
878.0,Science Fiction,9323
10751.0,Family,532
16.0,Animation,532
35.0,Comedy,532
28.0,Action,10547
9648.0,Mystery,10547
878.0,Science Fiction,10547
53.0,Thriller,10547
18.0,Drama,627
80.0,Crime,627
28.0,Action,602
12.0,Adventure,602
878.0,Science Fiction,602
18.0,Drama,10545
16.0,Animation,10545
10751.0,Family,10545
14.0,Fantasy,9327
35.0,Comedy,9327
10749.0,Romance,9327
878.0,Science Fiction,9327
28.0,Action,10546
14.0,Fantasy,10546
53.0,Thriller,10546
27.0,Horror,9431
35.0,Comedy,9431
28.0,Action,10061
12.0,Adventure,10061
878.0,Science Fiction,10061
53.0,Thriller,10061
18.0,Drama,238
80.0,Crime,238
28.0,Action,11134
80.0,Crime,11134
53.0,Thriller,11134
28.0,Action,38955
12.0,Adventure,38955
80.0,Crime,38955
16.0,Animation,19004
12.0,Adventure,19004
10751.0,Family,19004
27.0,Horror,10987
53.0,Thriller,10987
878.0,Science Fiction,62
9648.0,Mystery,62
12.0,Adventure,62
35.0,Comedy,3529
80.0,Crime,3529
9648.0,Mystery,3529
27.0,Horror,10331
28.0,Action,10680
35.0,Comedy,10680
18.0,Drama,10680
10751.0,Family,10680
12.0,Adventure,14821
14.0,Fantasy,14821
878.0,Science Fiction,14821
10751.0,Family,14821
35.0,Comedy,14136
10751.0,Family,14136
14.0,Fantasy,14136
10749.0,Romance,10869
35.0,Comedy,10869
10751.0,Family,10869
14.0,Fantasy,10869
10751.0,Family,11224
14.0,Fantasy,11224
16.0,Animation,11224
10749.0,Romance,11224
12.0,Adventure,10948
16.0,Animation,10948
18.0,Drama,10948
10751.0,Family,10948
35.0,Comedy,11229
18.0,Drama,11229
53.0,Thriller,11229
28.0,Action,562
53.0,Thriller,562
27.0,Horror,10163
53.0,Thriller,10163
878.0,Science Fiction,10163
12.0,Adventure,11238
16.0,Animation,11238
10751.0,Family,11238
18.0,Drama,88
10402.0,Music,88
10749.0,Romance,88
53.0,Thriller,402
9648.0,Mystery,402
27.0,Horror,25750
9648.0,Mystery,11843
35.0,Comedy,11843
80.0,Crime,11843
878.0,Science Fiction,1103
28.0,Action,1103
18.0,Drama,11298
27.0,Horror,11298
16.0,Animation,531
35.0,Comedy,531
10751.0,Family,531
28.0,Action,36555
35.0,Comedy,11455
12.0,Adventure,1891
28.0,Action,1891
878.0,Science Fiction,1891
12.0,Adventure,85
28.0,Action,85
27.0,Horror,679
28.0,Action,679
53.0,Thriller,679
878.0,Science Fiction,679
37.0,Western,429
12.0,Adventure,1892
28.0,Action,1892
878.0,Science Fiction,1892
27.0,Horror,348
28.0,Action,348
53.0,Thriller,348
878.0,Science Fiction,348
14.0,Fantasy,766
27.0,Horror,766
35.0,Comedy,766
18.0,Drama,539
27.0,Horror,539
53.0,Thriller,539
10402.0,Music,525
35.0,Comedy,525
28.0,Action,525
80.0,Crime,525
18.0,Drama,240
80.0,Crime,240
12.0,Adventure,530
16.0,Animation,530
35.0,Comedy,530
878.0,Science Fiction,530
10751.0,Family,530
28.0,Action,218
53.0,Thriller,218
878.0,Science Fiction,218
80.0,Crime,829
18.0,Drama,829
9648.0,Mystery,829
53.0,Thriller,829
27.0,Horror,765
35.0,Comedy,765
14.0,Fantasy,765
12.0,Adventure,105
35.0,Comedy,105
878.0,Science Fiction,105
10751.0,Family,105
12.0,Adventure,8009
28.0,Action,8009
14.0,Fantasy,8009
16.0,Animation,756
10751.0,Family,756
10402.0,Music,756
99.0,Documentary,11314
10402.0,Music,11314
12.0,Adventure,89
28.0,Action,89
878.0,Science Fiction,8077
28.0,Action,8077
27.0,Horror,8077
27.0,Horror,41671
27.0,Horror,27214
53.0,Thriller,27214
27.0,Horror,52263
27.0,Horror,33519
27.0,Horror,16235
18.0,Drama,11449
27.0,Horror,11449
53.0,Thriller,11449
27.0,Horror,41848
27.0,Horror,229
878.0,Science Fiction,229
18.0,Drama,9529
27.0,Horror,9529
53.0,Thriller,9529
27.0,Horror,7340
53.0,Thriller,7340
27.0,Horror,377
27.0,Horror,794
53.0,Thriller,794
18.0,Drama,145
10749.0,Romance,145
878.0,Science Fiction,199
28.0,Action,199
12.0,Adventure,199
53.0,Thriller,199
10751.0,Family,9279
35.0,Comedy,9279
99.0,Documentary,17204
18.0,Drama,17204
35.0,Comedy,11674
10751.0,Family,11674
28.0,Action,1573
53.0,Thriller,1573
878.0,Science Fiction,152
12.0,Adventure,152
9648.0,Mystery,152
878.0,Science Fiction,174
28.0,Action,174
12.0,Adventure,174
53.0,Thriller,174
878.0,Science Fiction,172
28.0,Action,172
12.0,Adventure,172
53.0,Thriller,172
28.0,Action,154
12.0,Adventure,154
878.0,Science Fiction,154
53.0,Thriller,154
878.0,Science Fiction,157
28.0,Action,157
12.0,Adventure,157
53.0,Thriller,157
878.0,Science Fiction,168
12.0,Adventure,168
28.0,Action,364
14.0,Fantasy,364
80.0,Crime,11967
28.0,Action,11967
12.0,Adventure,11967
18.0,Drama,11967
37.0,Western,11967
37.0,Western,9086
12.0,Adventure,9086
10749.0,Romance,621
35.0,Comedy,9037
