adult,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,collection_id,collection_name,collection_poster_path,collection_backdrop_path
False,58000000,http://www.mgm.com/view/movie/757/Goldeneye/,710,tt0113189,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,1995-11-16,352194034.0,130.0,Released,No limits. No fears. No substitutes.,GoldenEye,False,6.6,1194.0,645.0,James Bond Collection,/HORpg5CSkmeQlAolx3bKMrKgfi.jpg,/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg
False,3500000,http://www.newline.com/properties/friday.html,10634,tt0113118,en,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,1995-04-26,28215918.0,91.0,Released,A lot can go down between thursday and saturday...,Friday,False,7.0,513.0,43563.0,Friday Collection,/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg,/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg
False,19000000,http://www.miramax.com/movie/from-dusk-till-dawn/,755,tt0116367,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,1996-01-19,25836616.0,108.0,Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,False,6.9,1644.0,10924.0,From Dusk Till Dawn Collection,/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg,/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg
False,2000000,http://miramax.com/movie/blue-in-the-face/,5894,tt0112541,en,Blue in the Face,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",11.528147,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg,1995-09-15,1275000.0,83.0,Released,Welcome to the planet Brooklyn.,Blue in the Face,False,6.8,28.0,439053.0,Brooklyn Cigar Store Collection,/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg,/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg
False,15000000,http://www.powerrangers.com/,9070,tt0113820,en,Mighty Morphin Power Rangers: The Movie,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",7.024227,/A3ijhraMN0tvpDnPoyVP7NulkSr.jpg,1995-06-30,66000000.0,92.0,Released,The Power Is On!,Mighty Morphin Power Rangers: The Movie,False,5.2,153.0,286162.0,Power Rangers Collection,/zyHCzQUkgaemgCMEplqAqsp83SA.jpg,/ddGPthtIvNM2f8qBAyxa5GSKskK.jpg
False,27000,http://www.miramax.com/movie/clerks/,2292,tt0109445,en,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",10.513367,/dmNytzvQTjylI83qrgDoS1KQ0ev.jpg,1994-09-13,3151130.0,92.0,Released,Just because they serve you doesn't mean they like you.,Clerks,False,7.4,769.0,182813.0,Clerks Collection,/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg,/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg
False,11000000,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,1977-05-25,775398007.0,121.0,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778.0,10.0,Star Wars Collection,/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg,/d8duYyyC9J5T825Hg7grmaabfxQ.jpg
False,35000000,http://www.sonypictures.com/movies/theswanprincess/,22586,tt0111333,en,The Swan Princess,"The beautiful princess Odette is transformed into a swan by an evil sorcerer's spell. Held captive at an enchanted lake, she befriends Jean-Bob the frog, Speed the turtle and Puffin the bird. Despite their struggle to keep the princess safe, these good-natured creatures can do nothing about the sorcerer's spell, which can only be broken by a vow of everlasting love.",8.910462,/oYp2bckWNBKOIbznjAfypVoMOFl.jpg,1994-11-18,9771658.0,89.0,Released,An enchanting classic destined to capture your heart and free your spirit.,The Swan Princess,False,6.5,251.0,144200.0,Swan Princess Series,/3qBPAUFUMOOT9KqUEYXWAKy93Ge.jpg,/wxKt5KHvMYUSLHvyPf2xj64y3dJ.jpg
False,45000000,http://movies.disney.com/the-lion-king,8587,tt0110357,en,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,21.605761,/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg,1994-06-23,788241776.0,89.0,Released,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,False,8.0,5520.0,94032.0,The Lion King Collection,/oG1heUs503GV6xBnFhgyYTGWm05.jpg,/A9IEaj9cPAwEgFnTmteB70oxgJY.jpg
False,63000000,http://www.jurassicpark.com/,329,tt0107290,en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg,1993-06-11,920100000.0,127.0,Released,An adventure 65 million years in the making.,Jurassic Park,False,7.6,4956.0,328.0,Jurassic Park Collection,/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg,/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg
