name,id,movie_id
Pixar Animation Studios,3.0,862
Warner Bros.,6194.0,15602
Lancaster Gate,19464.0,15602
Sandollar Productions,5842.0,11862
Touchstone Pictures,9195.0,11862
United Artists,60.0,710
Eon Productions,7576.0,710
Universal Pictures,33.0,21032
Amblin Entertainment,56.0,21032
Amblimation,4105.0,21032
O Entertainment,5682.0,9273
Warner Bros.,6194.0,9273
Morgan Creek Productions,10210.0,9273
Jersey Films,216.0,8012
Metro-Goldwyn-Mayer (MGM),8411.0,8012
Universal Pictures,33.0,9598
Kennedy Miller Productions,2537.0,9598
New Line Cinema,12.0,9312
Threshold Entertainment,4174.0,9312
Walt Disney Pictures,2.0,10530
Walt Disney Feature Animation,10217.0,10530
New Line Cinema,12.0,11525
New Line Cinema,12.0,10634
A Band Apart,59.0,755
Dimension Films,7405.0,755
Los Hooligans Productions,11705.0,755
Miramax,53009.0,755
Walt Disney Pictures,2.0,10874
Jim Henson Productions,2504.0,10874
"Jim Henson Company, The",6254.0,10874
Studio Babelsberg,264.0,27793
Dieter Geissler Filmproduktion,1766.0,27793
Cinevox Filmproduktion GmbH,1979.0,27793
Warner Bros.,6194.0,27793
Miramax,53009.0,27793
Columbia Pictures,5.0,9737
Don Simpson/Jerry Bruckheimer Films,10288.0,9737
Warner Bros.,6194.0,414
Polygram Filmed Entertainment,31080.0,414
Miramax Films,14.0,5894
InterAL,30334.0,5894
Columbia Pictures,5.0,8068
Los Hooligans Productions,11705.0,8068
Twentieth Century Fox Film Corporation,306.0,1572
Cinergi Pictures Entertainment,1504.0,1572
Why Not Productions,729.0,13552
Desperate Pictures,1474.0,13552
Blurco,2765.0,13552
The Teen Angst Movie Company,18902.0,13552
Regency Enterprises,508.0,9073
Alcor Films,644.0,9073
Canal+,5358.0,9073
Donner/Shuler-Donner Productions,5739.0,9073
Warner Bros.,6194.0,9073
Twentieth Century Fox Film Corporation,306.0,9070
Saban Entertainment,2106.0,9070
Toei Company,9255.0,9070
Columbia Pictures,5.0,1642
United Artists,60.0,10802
Le Studio Canal+,183.0,10802
Carolco Pictures,14723.0,10802
Miramax Films,14.0,10149
Metro-Goldwyn-Mayer (MGM),8411.0,9348
Regency Enterprises,508.0,3512
Warner Bros.,6194.0,3512
Seagal/Nasso Productions,17825.0,3512
Victor Company of Japan (JVC),21480.0,3512
Cutting Edge Films,63906.0,3512
Canal+,5358.0,50797
Studio Trite,6453.0,50797
Caméra One,6454.0,50797
Detour Film Production,98.0,76
Warner Bros.,6194.0,76
Miramax Films,14.0,2292
View Askew Productions,16934.0,2292
New Line Cinema,12.0,8467
Motion Picture Corporation of America (MPCA),11061.0,8467
Walt Disney Pictures,2.0,15789
Geffen Pictures,360.0,628
Lucasfilm,1.0,11
Twentieth Century Fox Film Corporation,306.0,11
New Line Cinema,12.0,18220
CineTel Pictures,17067.0,18220
MG Entertainment,17068.0,18220
Zespół Filmowy TOR,38.0,110
Le Studio Canal+,183.0,110
France 3 Cinéma,591.0,110
Télévision Suisse-Romande,1245.0,110
France 3 Cinéma,591.0,108
CED Productions,1610.0,108
Le Studio Canal+,183.0,109
France 3 Cinéma,591.0,109
Eurimages,850.0,109
Rich Animation Studios,4108.0,22586
Walt Disney Pictures,2.0,11395
Hollywood Pictures,915.0,11395
Universal Pictures,33.0,9059
Tales From The Crypt Holdings,69626.0,9059
Paramount Pictures,4.0,193
Warner Bros.,6194.0,3049
Morgan Creek Productions,10210.0,3049
Paramount Pictures,4.0,9331
Mace Neufeld Productions,2767.0,9331
Miramax Films,14.0,9495
Crowvision Inc.,4028.0,9495
Entertainment Media Investment Corporation,4029.0,9495
Jeff Most Productions,4030.0,9495
Edward R. Pressman Film,6455.0,9495
Universal Pictures,33.0,888
Amblin Entertainment,56.0,888
Hanna-Barbera Productions,1353.0,888
Walt Disney Pictures,2.0,8587
Walt Disney Feature Animation,10217.0,8587
New Line Cinema,12.0,11596
New Line Cinema,12.0,854
Dark Horse Entertainment,552.0,854
Paramount Pictures,4.0,36593
Twentieth Century Fox Film Corporation,306.0,1637
Universal Pictures,33.0,8831
Renaissance Pictures,467.0,8831
Dark Horse Entertainment,552.0,8831
Largo Entertainment,1644.0,8831
Signature Pictures,2982.0,8831
JVC Entertainment Networks,4248.0,8831
Universal Pictures,33.0,11667
Capcom,7220.0,11667
Trans-Film,2662.0,8011
Initial Groupe,22240.0,8011
Lumière Pictures,25129.0,8011
Fallingcloud,30655.0,8011
Paramount Pictures,4.0,2758
Orion Pictures,41.0,2758
Scott Rudin Productions,258.0,2758
Paramount Pictures,4.0,306
Eddie Murphy Productions,30.0,306
Columbia Pictures,5.0,11310
Castle Rock Entertainment,97.0,11310
Canal Plus,104.0,1634
Regency Enterprises,508.0,1634
Alcor Films,644.0,1634
Warner Bros.,6194.0,1634
Donner/Shuler-Donner Productions,23397.0,1634
Warner Bros.,6194.0,5503
Universal Pictures,33.0,2019
Renaissance Pictures,467.0,2019
Alphaville Films,11462.0,2019
Twentieth Century Fox Film Corporation,306.0,9255
Sidley Wright & Associates,11751.0,9255
Universal Pictures,33.0,329
Amblin Entertainment,56.0,329
Columbia Pictures Corporation,441.0,11231
Orion Pictures,41.0,5550
American Zoetrope,70.0,11236
Warner Bros.,6194.0,11236
Universal Pictures,33.0,8850
Shaw Brothers,5798.0,78
Warner Bros.,6194.0,78
The Ladd Company,7965.0,78
Twentieth Century Fox Film Corporation,306.0,771
Hughes Entertainment,477.0,771
Walt Disney Pictures,2.0,812
Lightstorm Entertainment,574.0,280
Pacific Western,1280.0,280
Canal+,5358.0,280
Carolco Pictures,14723.0,280
T2 Productions,61409.0,280
PolyGram Filmed Entertainment,1382.0,268
The Guber-Peters Company,4357.0,268
Warner Bros.,6194.0,268
Orion Pictures,41.0,274
Strong Heart/Demme Production,55072.0,274
Walt Disney Pictures,2.0,10020
Walt Disney Animation Studios,6125.0,10020
Silver Screen Partners IV,10282.0,10020
Propaganda Films,278.0,10824
PolyGram Filmed Entertainment,1382.0,10824
