iso_639_1,name,movie_id
en,English,862
en,English,15602
en,English,11862
en,English,710
ru,Pусский,710
es,Español,710
en,English,21032
en,English,9273
en,English,8012
en,English,9598
en,English,9312
en,English,10530
en,English,11525
hu,Magyar,11525
en,English,10634
en,English,755
es,Español,755
en,English,10874
en,English,27793
en,English,9737
en,English,414
en,English,5894
en,English,8068
en,English,1572
de,Deutsch,1572
ro,Română,1572
en,English,13552
en,English,9073
id,Bahasa indonesia,9073
ms,Bahasa melayu,9073
en,English,9070
en,English,1642
es,Español,1642
en,English,10802
en,English,10149
en,English,9348
en,English,3512
ru,Pусский,50797
en,English,76
de,Deutsch,76
fr,Français,76
en,English,2292
en,English,8467
en,English,15789
en,English,628
fr,Français,628
en,English,11
en,English,18220
fr,Français,110
fr,Français,108
pl,Polski,108
fr,Français,109
hu,Magyar,109
pl,Polski,109
en,English,22586
en,English,11395
en,English,9059
en,English,193
en,English,3049
en,English,9331
en,English,9495
en,English,888
en,English,8587
en,English,11596
sv,svenska,854
en,English,854
en,English,36593
en,English,1637
en,English,8831
en,English,11667
ja,日本語,11667
en,English,8011
en,English,2758
en,English,306
en,English,11310
it,Italiano,11310
ru,Pусский,11310
en,English,24257
en,English,1634
en,English,5503
en,English,2019
en,English,9255
en,English,329
es,Español,329
en,English,11231
en,English,5550
ja,日本語,5550
en,English,11236
en,English,8850
en,English,78
de,Deutsch,78
cn,广州话 / 廣州話,78
ja,日本語,78
hu,Magyar,78
en,English,771
en,English,812
en,English,280
es,Español,280
en,English,268
fr,Français,268
en,English,274
fr,Français,10020
en,English,10020
en,English,10824
en,English,11827
hu,Magyar,11827
en,English,8766
en,English,19042
en,English,954
fr,Français,954
cs,Český,954
en,English,8840
en,English,25087
bn,বাংলা,5801
bn,বাংলা,896
fr,Français,8072
fr,Français,11687
ja,日本語,9323
en,English,532
en,English,10547
en,English,627
en,English,602
la,Latin,10545
en,English,10545
en,English,9327
en,English,10546
de,Deutsch,10546
en,English,9431
es,Español,9431
en,English,10061
en,English,238
it,Italiano,238
la,Latin,238
cn,广州话 / 廣州話,11134
en,English,11134
ms,Bahasa melayu,11134
th,ภาษาไทย,11134
cn,广州话 / 廣州話,38955
en,English,19004
en,English,10987
en,English,62
ru,Pусский,62
en,English,3529
en,English,10331
en,English,10680
en,English,14821
es,Español,14136
en,English,14136
cn,广州话 / 廣州話,14136
en,English,10869
en,English,11224
en,English,10948
en,English,11229
en,English,562
de,Deutsch,562
it,Italiano,562
en,English,10163
en,English,11238
en,English,88
en,English,402
en,English,25750
en,English,11843
en,English,1103
en,English,11298
en,English,531
en,English,36555
en,English,11455
en,English,1891
en,English,85
es,Español,85
de,Deutsch,85
he,עִבְרִית,85
ar,العربية,85
en,English,679
it,Italiano,429
en,English,1892
en,English,348
es,Español,348
en,English,766
en,English,539
en,English,525
en,English,240
it,Italiano,240
la,Latin,240
es,Español,240
en,English,530
en,English,218
es,Español,829
cn,广州话 / 廣州話,829
en,English,829
en,English,765
en,English,105
en,English,8009
en,English,756
en,English,11314
de,Deutsch,89
el,ελληνικά,89
en,English,89
en,English,8077
en,English,41671
pt,Português,41671
en,English,27214
en,English,52263
en,English,33519
en,English,16235
en,English,11449
en,English,41848
it,Italiano,41848
en,English,229
en,English,9529
en,English,7340
en,English,377
en,English,794
it,Italiano,794
la,Latin,794
en,English,145
en,English,199
en,English,9279
en,English,17204
en,English,11674
en,English,1573
es,Español,1573
en,English,152
en,English,174
en,English,172
en,English,154
en,English,157
ru,Pусский,157
en,English,168
fi,suomi,168
en,English,364
en,English,11967
en,English,9086
en,English,621
en,English,9037
en,English,8845
en,English,578
en,English,579
en,English,17692
en,English,4232
en,English,34314
en,English,9404
ru,Pусский,9404
uk,Український,9404
zh,普通话,9404
cn,广州话 / 廣州話,9404
en,English,6499
en,English,9360
en,English,816
en,English,1811
en,English,330
en,English,1639
pt,Português,1639
en,English,415
ja,日本語,17991
en,English,607
es,Español,607
en,English,9387
en,English,20737
cs,Český,18519
en,English,18519
en,English,4961
it,Italiano,4961
en,English,1669
ru,Pусский,1669
en,English,9437
zh,普通话,9437
en,English,10351
en,English,3597
en,English,1281
en,English,563
en,English,9823
en,English,8078
fr,Français,42832
pl,Polski,9714
en,English,9714
en,English,4233
de,Deutsch,714
en,English,714
da,Dansk,714
zh,普通话,714
cn,广州话 / 廣州話,714
ru,Pусский,11568
en,English,11568
en,English,11808
en,English,617
es,Español,27472
en,English,27472
en,English,10216
en,English,9771
it,Italiano,9771
en,English,10674
zh,普通话,10674
en,English,846
en,English,3050
en,English,944
cn,广州话 / 廣州話,944
zh,普通话,944
en,English,1051
fr,Français,1051
en,English,1366
en,English,10014
en,English,10072
en,English,10131
en,English,10160
en,English,11284
en,English,4488
en,English,9725
en,English,9728
en,English,9730
es,Español,9730
en,English,9731
en,English,10225
en,English,10281
en,English,10283
en,English,948
en,English,11281
en,English,10676
en,English,11357
en,English,11361
en,English,609
en,English,11133
en,English,10306
de,Deutsch,9552
fr,Français,9552
la,Latin,9552
ar,العربية,9552
el,ελληνικά,9552
en,English,9552
en,English,11586
fr,Français,11586
es,Español,11586
en,English,11587
it,Italiano,11587
en,English,941
en,English,942
af,Afrikaans,942
en,English,943
en,English,927
es,Español,927
en,English,928
en,English,9342
en,English,165
en,English,196
en,English,17984
en,English,3170
en,English,242
it,Italiano,242
de,Deutsch,242
la,Latin,242
en,English,11164
is,Íslenska,11164
es,Español,12129
en,English,12129
fr,Français,14140
en,English,14140
en,English,11158
en,English,9354
en,English,9325
en,English,10340
en,English,10144
fr,Français,10144
en,English,10414
en,English,10437
en,English,12230
en,English,10693
da,Dansk,11135
en,English,11135
ko,한국어/조선말,11135
no,Norsk,11135
sv,svenska,11135
en,English,11319
en,English,14822
en,English,15969
en,English,19762
en,English,2619
it,Italiano,2619
en,English,97
en,English,11675
en,English,87
en,English,123
en,English,10823
pt,Português,10823
es,Español,10823
en,English,11497
en,English,2907
en,English,11704
en,English,11415
cs,Český,37530
en,English,37530
af,Afrikaans,8393
en,English,8393
af,Afrikaans,11937
en,English,11937
en,English,21661
en,English,34584
en,English,34636
de,Deutsch,34636
ru,Pусский,36647
en,English,36647
de,Deutsch,431
en,English,431
en,English,2109
en,English,9877
it,Italiano,9877
en,English,1091
no,Norsk,1091
en,English,4437
ru,Pусский,4437
en,English,9945
la,Latin,9945
fr,Français,4518
en,English,4518
en,English,3600
en,English,12223
en,English,14444
ja,日本語,1678
en,English,39256
ja,日本語,39256
ru,Pусский,39256
